               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  26,             0.01746,           0.0086929,           0.0028372,              0.8959,             0.85185,             0.95281,             0.65685,             0.02875,            0.005067,            0.021299,            0.007525,            0.007525,            0.007525
                  27,            0.016905,           0.0086032,           0.0030857,             0.89989,             0.83531,             0.96357,             0.66528,            0.029638,           0.0048763,            0.027039,            0.007426,            0.007426,            0.007426
                  28,            0.017606,           0.0085311,             0.00363,             0.93047,             0.87189,             0.95919,             0.65659,            0.030203,           0.0048406,            0.018665,            0.007327,            0.007327,            0.007327
                  29,            0.016948,           0.0085551,           0.0035082,             0.90428,             0.86214,             0.95359,             0.64953,             0.02862,           0.0048875,            0.021216,            0.007228,            0.007228,            0.007228
                  30,            0.016716,           0.0084563,           0.0027085,             0.84134,             0.87694,             0.95722,             0.65731,            0.029324,           0.0047567,              0.0211,            0.007129,            0.007129,            0.007129
                  31,            0.015931,           0.0083071,           0.0028148,              0.8582,             0.86999,             0.93992,             0.66756,            0.026941,           0.0049282,            0.023919,             0.00703,             0.00703,             0.00703
                  32,            0.016238,           0.0083508,           0.0029054,             0.86323,             0.80093,             0.94096,             0.64527,            0.030789,           0.0047788,            0.032233,            0.006931,            0.006931,            0.006931
                  33,            0.016515,           0.0083841,           0.0030465,             0.87552,              0.8433,             0.93289,               0.628,            0.030873,           0.0051495,            0.026801,            0.006832,            0.006832,            0.006832
                  34,            0.016475,           0.0082981,           0.0030605,             0.88118,             0.84956,             0.95961,             0.68988,            0.025327,           0.0047554,            0.023866,            0.006733,            0.006733,            0.006733
                  35,            0.015891,           0.0082939,           0.0024176,             0.84975,             0.83673,             0.92926,             0.65971,            0.027857,           0.0046936,            0.031506,            0.006634,            0.006634,            0.006634
