               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.016295,           0.0083918,           0.0025382,             0.86002,              0.8564,             0.92586,             0.62991,            0.029967,           0.0046432,            0.027855,            0.008152,            0.008152,            0.008152
                  58,            0.016561,           0.0085837,            0.003174,             0.82323,             0.83502,             0.93053,             0.63495,            0.030241,           0.0046347,            0.032207,            0.008119,            0.008119,            0.008119
                  59,            0.016327,           0.0084725,           0.0034348,             0.89934,             0.84036,             0.95831,             0.66857,            0.028922,           0.0046299,            0.031761,            0.008086,            0.008086,            0.008086
                  60,            0.016273,           0.0084525,           0.0026327,              0.8894,             0.83875,             0.95655,             0.66952,            0.028514,           0.0046938,            0.030831,            0.008053,            0.008053,            0.008053
                  61,            0.016234,           0.0084752,            0.003206,             0.86196,             0.84358,             0.95117,             0.66387,             0.02839,           0.0046183,            0.029444,             0.00802,             0.00802,             0.00802
                  62,            0.016418,           0.0084648,           0.0025703,             0.82028,             0.86056,             0.94238,             0.66637,            0.027489,           0.0046301,            0.030627,            0.007987,            0.007987,            0.007987
                  63,            0.016632,           0.0083975,           0.0030631,             0.84608,             0.86899,             0.95774,             0.68333,            0.027572,           0.0045809,            0.026256,            0.007954,            0.007954,            0.007954
                  64,            0.016148,           0.0084625,           0.0032315,             0.87263,             0.83191,             0.94953,              0.6727,            0.028126,           0.0045886,            0.028393,            0.007921,            0.007921,            0.007921
                  65,            0.016283,           0.0084639,           0.0032912,             0.86553,              0.8338,             0.94832,             0.67086,            0.028068,           0.0045574,            0.030724,            0.007888,            0.007888,            0.007888
                  66,             0.01665,           0.0084006,           0.0034474,             0.89364,             0.84409,             0.95715,             0.68154,            0.027485,           0.0045078,            0.029712,            0.007855,            0.007855,            0.007855
                  67,            0.016634,           0.0083784,           0.0029923,             0.89076,             0.83471,             0.95498,             0.67772,            0.027455,           0.0045369,            0.033533,            0.007822,            0.007822,            0.007822
                  68,            0.016479,           0.0083565,           0.0024351,             0.89252,             0.86323,             0.96021,              0.6749,            0.028684,            0.004567,             0.02589,            0.007789,            0.007789,            0.007789
